"tweet_id","twitter_created_at","label","corpus","agreement","votes","score","source"
"933684055077404672","2017-11-23 14:10:00","positive","Zika","100","10","10","twitter"
"1247222564017102853","2020-04-06 20:00:06","neutral","Coronavirus","0","3","0","twitter"
"927511173020422144","2017-11-06 13:21:10","positive","Zika","82","11","9","twitter"
"1247222543557279744","2020-04-06 20:00:01","neutral","Coronavirus","0","2","0","twitter"
"1247222543322419203","2020-04-06 20:00:01","neutral","Coronavirus","0","2","0","twitter"
"930734634438217728","2017-11-15 10:50:03","positive","Zika","82","11","9","twitter"
"923642568092667904","2017-10-26 22:08:43","positive","Zika","100","8","8","twitter"
"1247222542726828032","2020-04-06 20:00:01","neutral","Coronavirus","0","2","0","twitter"
"1247222542508621825","2020-04-06 20:00:01","neutral","Coronavirus","0","2","0","twitter"
"1247237786715009034","2020-04-06 21:00:35","neutral","Coronavirus","0","2","0","twitter"
"930068255682723842","2017-11-13 14:42:06","positive","Zika","100","8","8","twitter"
"929668491048833024","2017-11-12 12:13:35","positive","Zika","80","10","8","twitter"
"929521188711419904","2017-11-12 02:28:15","positive","Zika","100","8","8","twitter"
"929377764205047809","2017-11-11 16:58:20","positive","Zika","80","10","8","twitter"
"928599756598890496","2017-11-09 13:26:49","positive","Zika","80","10","8","twitter"
"928296361564540928","2017-11-08 17:21:14","positive","Zika","80","10","8","twitter"
"927512582117879808","2017-11-06 13:26:46","positive","Zika","89","9","8","twitter"
"927418418416013312","2017-11-06 07:12:36","positive","Zika","80","10","8","twitter"
"927162068263886848","2017-11-05 14:13:57","positive","Zika","80","10","8","twitter"
"1247252889808113665","2020-04-06 22:00:36","neutral","Coronavirus","0","2","0","twitter"
"933073282693083136","2017-11-21 21:43:00","positive","Zika","89","9","8","twitter"
"933064537443483648","2017-11-21 21:08:15","positive","Zika","89","9","8","twitter"
"935243177245790208","2017-11-27 21:25:24","positive","Zika","89","9","8","twitter"
"1150122673781055488","2019-07-13 21:19:48","positive","Zika","89","9","8","twitter"
"924625014799904769","2017-10-29 14:12:36","positive","Zika","100","7","7","twitter"
"923960788737560576","2017-10-27 19:13:13","positive","Zika","78","9","7","twitter"
"923902540466573312","2017-10-27 15:21:45","positive","Zika","88","8","7","twitter"
"923668676368371712","2017-10-26 23:52:28","positive","Zika","78","9","7","twitter"
"923569387365269504","2017-10-26 17:17:55","positive","Zika","88","8","7","twitter"
"923558693282689024","2017-10-26 16:35:26","positive","Zika","100","7","7","twitter"
"923160038465785856","2017-10-25 14:11:19","positive","Zika","100","7","7","twitter"
"922887684741152769","2017-10-24 20:09:05","positive","Zika","78","9","7","twitter"
"922815743921737728","2017-10-24 15:23:13","positive","Zika","100","7","7","twitter"
"922296521969885186","2017-10-23 05:00:00","positive","Zika","88","8","7","twitter"
"922024738783821824","2017-10-22 11:00:02","positive","Zika","78","9","7","twitter"
"1247252842232111104","2020-04-06 22:00:25","neutral","Coronavirus","0","2","0","twitter"
"921771817517436928","2017-10-21 18:15:01","positive","Zika","88","8","7","twitter"
"925106379844616192","2017-10-30 22:05:23","positive","Zika","88","8","7","twitter"
"930503203011137537","2017-11-14 19:30:26","positive","Zika","100","7","7","twitter"
"1247267879386517504","2020-04-06 23:00:10","neutral","Coronavirus","0","2","0","twitter"
"930008104598618113","2017-11-13 10:43:05","positive","Zika","88","8","7","twitter"
"929726753936986113","2017-11-12 16:05:06","positive","Zika","78","9","7","twitter"
"929519085725061121","2017-11-12 02:19:54","positive","Zika","88","8","7","twitter"
"929456979541716993","2017-11-11 22:13:07","positive","Zika","78","9","7","twitter"
"929072108923125761","2017-11-10 20:43:46","positive","Zika","88","8","7","twitter"
"928338783837310981","2017-11-08 20:09:48","positive","Zika","78","9","7","twitter"
"927651403455070208","2017-11-06 22:38:24","positive","Zika","88","8","7","twitter"
"927553194657492992","2017-11-06 16:08:09","positive","Zika","88","8","7","twitter"
"1247267846851375106","2020-04-06 23:00:02","neutral","Coronavirus","0","2","0","twitter"
"1247283092148142081","2020-04-07 00:00:37","neutral","Coronavirus","0","2","0","twitter"
"930987004795523072","2017-11-16 03:32:53","positive","Zika","78","9","7","twitter"
"930967861182464000","2017-11-16 02:16:49","positive","Zika","88","8","7","twitter"
"930822701186293760","2017-11-15 16:40:00","positive","Zika","100","7","7","twitter"
"1247283091690815491","2020-04-07 00:00:37","neutral","Coronavirus","0","2","0","twitter"
"930770380603756544","2017-11-15 13:12:06","positive","Zika","100","7","7","twitter"
"930767595048964097","2017-11-15 13:01:02","positive","Zika","88","8","7","twitter"
"1247283082283102209","2020-04-07 00:00:34","neutral","Coronavirus","0","2","0","twitter"
"931288270503264256","2017-11-16 23:30:00","positive","Zika","78","9","7","twitter"
"931256350029606915","2017-11-16 21:23:10","positive","Zika","88","8","7","twitter"
"931974057460936704","2017-11-18 20:55:05","positive","Zika","78","9","7","twitter"
"1247283062490030082","2020-04-07 00:00:30","neutral","Coronavirus","0","2","0","twitter"
"933640678147547137","2017-11-23 11:17:38","positive","Zika","78","9","7","twitter"
"933120778312265728","2017-11-22 00:51:44","positive","Zika","100","7","7","twitter"
"933048653492752387","2017-11-21 20:05:08","positive","Zika","78","9","7","twitter"
"933010493790474240","2017-11-21 17:33:30","positive","Zika","78","9","7","twitter"
